id,name,time_submit,time_start,time_end,user,group,time_limit,required_cpus,used portion of time limit,avg_aborted_task,Average congestion,Average cpus,Duration (minutes),Wait time / time limit,Average time_limit,task_time,state
 fen1.bg.cmc.msu.ru.10917368, fen1.bg.cmc.msu.ru.10917368,2017-01-05 02:42,2017-01-05 02:54,2017-01-05 02:55,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917369, fen1.bg.cmc.msu.ru.10917369,2017-01-05 02:42,2017-01-05 02:57,2017-01-05 02:58,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917370, fen1.bg.cmc.msu.ru.10917370,2017-01-05 02:42,2017-01-05 18:37,2017-01-05 18:38,pseudo_cluster_user_7,pseudo_cluster_group_4,5,512,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917371, fen1.bg.cmc.msu.ru.10917371,2017-01-05 02:42,2017-01-05 02:54,2017-01-05 02:55,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917372, fen1.bg.cmc.msu.ru.10917372,2017-01-05 02:42,2017-01-05 02:59,2017-01-05 03:00,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917373, fen1.bg.cmc.msu.ru.10917373,2017-01-05 02:42,2017-01-05 18:38,2017-01-05 18:39,pseudo_cluster_user_7,pseudo_cluster_group_4,5,512,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917374, fen1.bg.cmc.msu.ru.10917374,2017-01-05 03:29,2017-01-05 03:29,2017-01-05 03:30,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917375, fen1.bg.cmc.msu.ru.10917375,2017-01-05 03:29,2017-01-05 03:30,2017-01-05 03:30,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917376, fen1.bg.cmc.msu.ru.10917376,2017-01-05 03:30,2017-01-05 03:30,2017-01-05 03:31,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917377, fen1.bg.cmc.msu.ru.10917377,2017-01-05 03:30,2017-01-05 03:30,2017-01-05 03:32,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917378, fen1.bg.cmc.msu.ru.10917378,2017-01-05 03:30,2017-01-05 03:31,2017-01-05 03:31,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917379, fen1.bg.cmc.msu.ru.10917379,2017-01-05 03:30,2017-01-05 03:31,2017-01-05 03:32,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917380, fen1.bg.cmc.msu.ru.10917380,2017-01-05 03:30,2017-01-05 03:32,2017-01-05 03:33,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917381, fen1.bg.cmc.msu.ru.10917381,2017-01-05 03:30,2017-01-05 03:32,2017-01-05 03:33,pseudo_cluster_user_7,pseudo_cluster_group_4,5,32,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917382, fen1.bg.cmc.msu.ru.10917382,2017-01-05 03:30,2017-01-05 03:33,2017-01-05 03:35,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917383, fen1.bg.cmc.msu.ru.10917383,2017-01-05 03:30,2017-01-05 03:35,2017-01-05 03:36,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917384, fen1.bg.cmc.msu.ru.10917384,2017-01-05 03:30,2017-01-05 03:35,2017-01-05 03:36,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917385, fen1.bg.cmc.msu.ru.10917385,2017-01-05 03:31,2017-01-05 03:36,2017-01-05 03:37,pseudo_cluster_user_7,pseudo_cluster_group_4,5,64,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917386, fen1.bg.cmc.msu.ru.10917386,2017-01-05 03:31,2017-01-05 03:37,2017-01-05 03:38,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,1, Completed
 fen1.bg.cmc.msu.ru.10917387, fen1.bg.cmc.msu.ru.10917387,2017-01-05 03:31,2017-01-05 03:39,2017-01-05 03:41,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917388, fen1.bg.cmc.msu.ru.10917388,2017-01-05 03:31,2017-01-05 18:39,2017-01-05 18:39,pseudo_cluster_user_7,pseudo_cluster_group_4,5,512,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
 fen1.bg.cmc.msu.ru.10917389, fen1.bg.cmc.msu.ru.10917389,2017-01-05 03:31,2017-01-05 03:38,2017-01-05 03:40,pseudo_cluster_user_7,pseudo_cluster_group_4,5,128,0.079,0.083,0.219,57.705,17.321,1.89,14.282,2, Completed
 fen1.bg.cmc.msu.ru.10917390, fen1.bg.cmc.msu.ru.10917390,2017-01-05 03:31,2017-01-05 03:41,2017-01-05 03:41,pseudo_cluster_user_7,pseudo_cluster_group_4,5,256,0.079,0.083,0.219,57.705,17.321,1.89,14.282,0, Completed
